テーブル名,論理名,業務用途,工程,候補根拠,主要キー,車両接続キー,受注接続キー,金額項目,帳票利用,必要性,正式値か,更新方式,削除方式,訂正方式,保持期間,推奨履歴方式,Power BI提供方法,確定度,確認担当者,次の作業
TBBG117G,中古車総合収益ＤＢ,U-Car総合収益（月次・スタッフ等の集計）,U-Car収益集計,主要関連カラム: KI_UCHONURI（中古車本体売上） / KI_UCKSYURI（中古車加修売上） / KI_UCHONGEN（中古車本体原価） / KI_UCSKSYMT（中古車総加修見積額） / KI_UCKPLEST（中古車割賦リース手数料） / KI_UCKPLESK（中古割賦リース手数料管理原価） / KI_UCHNBTSK（中古車販売諸手数料管理原価） / KI_UCJAFAZU（中古車ＪＡＦ預り金） / KI_UCJAFKRG（中古車ＪＡＦ管理原価） / KI_UCNINHAZ（中古車任意保険預り金） / KI_UCNINHKG（中古車任意保険管理原価） / KI_UCTAAZU（中古車その他預り金） ほか4項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_STAFF（スタッフコード） / NU_TAIYYMM（対象年月） / KB_SOGOSYEK（総合収益区分）,該当カラム未確認,該当カラム未確認,KI_UCHONURI（中古車本体売上） / KI_UCKSYURI（中古車加修売上） / KI_UCHONGEN（中古車本体原価） / KI_UCKPLEST（中古車割賦リース手数料） / KI_UCKPLESK（中古割賦リース手数料管理原価） / KI_UCHNBTSB（中古車販売諸手数料売価） / KI_UCHNBTSK（中古車販売諸手数料管理原価） / KI_UCJAFAZU（中古車ＪＡＦ預り金） / KI_UCJAFKRG（中古車ＪＡＦ管理原価） / KI_UCNINHAZ（中古車任意保険預り金） / KI_UCNINHKG（中古車任意保険管理原価） / KI_UCTAAZU（中古車その他預り金） ほか3項目,未確認（利益・売上帳票/Power BIの参照候補）,正式値・用途比較のための候補,未確認（正式な利益/売上値の候補。計上時点・原価基準・取消反映を確認）,差分追加・再計算・上書きの実態未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,計算済みスナップショット＋計算根拠明細の保持,車両/受注/店舗・月次の利益マート。正式値と参考値を分離,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,正式U-Car利益/用途を比較確認。Hueで粒度・一意キー、計上日、取消/修正、利益差、元テーブルとの整合を確認
TBG8006M,中古車小売売上トランＤＢ,U-Car小売売上トランザクション,U-Car小売売上・訂正,主要関連カラム: KB_KOSIN（更新区分） / NO_CYUMON（注文ＮＯ） / KB_URIAGE（売上区分） / KB_KAITAISY（解体車両区分） / DD_URIAGE（売上日） / NO_SYARYOU（車両ＮＯ） / DD_SIIRE（仕入日） / KB_TORO1J2J（登録一次二次区分） / KB_TOROKU（登録区分） / NO_TOUROKU（登録ＮＯ） / KI_SYRYOHON（車両本体価格） / KI_SYRYONEB（車両本体値引） ほか50項目,LOGIC_PK（ロジカルプライマリキー） / CD_HANSYA（販社コード）,NO_SYARYOU（車両ＮＯ） / NO_TOUROKU（登録ＮＯ） / NO_SYADAIBA（車台番号）,NO_CYUMON（注文ＮＯ）,KB_URIAGE（売上区分） / DD_URIAGE（売上日） / KI_SYRYOHON（車両本体価格） / KI_SYRYONEB（車両本体値引） / KI_FUZOKUKA（付属品価格） / KI_SPSIYOKA（特別仕様価格） / KI_HANKAKAK（販売価格計） / KI_SITADORI（下取車価格） / KI_SITASYZA（下取車残債） / KI_KAPGANKI（割賦元金） / KI_KAPTESU（割賦手数料） / KI_KAPGAN2（割賦元金２） ほか35項目,未確認（利益・売上帳票/Power BIの参照候補）,正式値・用途比較のための候補,未確認（正式な利益/売上値の候補。計上時点・原価基準・取消反映を確認）,差分追加・再計算・上書きの実態未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,計算済みスナップショット＋計算根拠明細の保持,車両/受注/店舗・月次の利益マート。正式値と参考値を分離,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,正式U-Car利益/用途を比較確認。Hueで粒度・一意キー、計上日、取消/修正、利益差、元テーブルとの整合を確認
TBBA085G,抹消済新車受注基本情報DB,新車系の既存抹消済/保存用データ（抹消済新車受注基本情報DB）,新車工程の抹消・保存・アーカイブ,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / SU_JUCHUDAI（受注台数） / NO_SYADAIBA（車台番号） / KB_TOROKU（登録区分） / KB_JCSINPO（受注進捗区分） / KB_TOROKKAH（登録可否区分） / MJ_NOSYBAS（納車場所） / MJ_SYATEIRA（車両手配依頼） / DD_SYRYTHIR（車両手配依頼日） / MJ_CYMONM1（注文メモ１） / MJ_CYMONM2（注文メモ２） ほか56項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / DD_URIAGE（売上日）,NO_SYADAIBA（車台番号） / NO_FRAME（フレームＮＯ）,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_KYTYUMON（旧注文ＮＯ） / NO_KYTYMOED（旧注文ＮＯ枝番） / NO_SINTYMON（新注文ＮＯ） / NO_SINTYMED（新注文ＮＯ枝番） / NO_SKYCYMON（送信旧注文ＮＯ） / NO_SKYCYMED（送信旧注文ＮＯ枝番）,DD_URITRKKJ（売上取消計上日） / DD_MODURIKJ（戻し売上計上日） / DD_URIAGEKJ（売上計上日） / DD_URITORIK（売上取消日） / DD_MODURIAG（戻し売上日） / DD_URIAGE（売上日）,未確認（通常帳票ではなく調査・アーカイブ用途の可能性）,既存履歴/アーカイブとして最優先で仕様確認,既存保存データ候補（正式値としての利用可否は未確認）,現行テーブルから移送・保存される可能性（移送条件・頻度は未確認）,抹消済/保存用への移送条件、現行からの物理削除有無を確認,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,既存アーカイブの再利用可否を先に評価。不足時のみ補完Historyを作成,原則直接公開しない。監査・調査用ビューまたは履歴補完元として利用,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,AI21担当＋インフラ担当＋セキグチさん,AI21/インフラへ移送条件・保持期間を確認。Hueで現行表との件数/PK差分、重複、抹消/売上/仕入日を確認
TBBA092G,抹消済新車受注追工DB,新車系の既存抹消済/保存用データ（抹消済新車受注追工DB）,新車工程の抹消・保存・アーカイブ,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / KI_TUIKOKIN（追工金額） / KI_TUIKKINM（追工金額マスタ値） / KI_TUIKKNGE（追工管理原価） / KI_BUHYTG（部品予定原価） / KI_KOTIYOGE（工賃予定原価） / KI_GAITYYOT（外注予定原価） / KI_TAYOGEN（その他予定原価） / KI_YOTEGEKE（予定原価計） / KI_CENTBUYO（センター部品予定原価） / KI_CENTKOYO（センター工賃予定原価） ほか11項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / CD_OYATUIKO（親追工コード） / NO_OYATUIKO（親追工連番） / CD_TUIKO（追工コード） / KI_TUIKRE（追工連番） / DD_URIAGE（売上日）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,KI_TUIKOKIN（追工金額） / KI_TUIKKINM（追工金額マスタ値） / KI_TUIKKNGE（追工管理原価） / KI_BUHYTG（部品予定原価） / KI_KOTIYOGE（工賃予定原価） / KI_GAITYYOT（外注予定原価） / KI_TAYOGEN（その他予定原価） / KI_YOTEGEKE（予定原価計） / KI_CENTBUYO（センター部品予定原価） / KI_CENTKOYO（センター工賃予定原価） / KI_CENTGAYO（センター外注予定原価） / KI_CENTYOGN（センターその他予定原価） ほか3項目,未確認（通常帳票ではなく調査・アーカイブ用途の可能性）,既存履歴/アーカイブとして最優先で仕様確認,既存保存データ候補（正式値としての利用可否は未確認）,現行テーブルから移送・保存される可能性（移送条件・頻度は未確認）,抹消済/保存用への移送条件、現行からの物理削除有無を確認,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,既存アーカイブの再利用可否を先に評価。不足時のみ補完Historyを作成,原則直接公開しない。監査・調査用ビューまたは履歴補完元として利用,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,AI21担当＋インフラ担当＋セキグチさん,AI21/インフラへ移送条件・保持期間を確認。Hueで現行表との件数/PK差分、重複、抹消/売上/仕入日を確認
TBBA093G,抹消済新車販売条件情報DB,新車系の既存抹消済/保存用データ（抹消済新車販売条件情報DB）,新車工程の抹消・保存・アーカイブ,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / KI_KATAYOGE（型式予定原価） / KI_KATAKANR（型式管理原価） / KI_SIKIYOTG（色予定原価） / KI_SIKIKANG（色管理原価） / KI_MAKEOK1（メーカーＯＰＴ管理原価１） / SU_MAKOYO1（メーカーＯＰＴ予定原価１） / KI_MAKEOK2（メーカーＯＰＴ管理原価２） / SU_MAKOYO2（メーカーＯＰＴ予定原価２） / KI_MAKEOK3（メーカーＯＰＴ管理原価３） / SU_MAKOYO3（メーカーＯＰＴ予定原価３） ほか104項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / DD_URIAGE（売上日）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,KI_KATAYOGE（型式予定原価） / KI_KATAKANR（型式管理原価） / KI_SIKIYOTG（色予定原価） / KI_SIKIKANG（色管理原価） / KI_MAKEOK1（メーカーＯＰＴ管理原価１） / SU_MAKOYO1（メーカーＯＰＴ予定原価１） / KI_MAKEOK2（メーカーＯＰＴ管理原価２） / SU_MAKOYO2（メーカーＯＰＴ予定原価２） / KI_MAKEOK3（メーカーＯＰＴ管理原価３） / SU_MAKOYO3（メーカーＯＰＴ予定原価３） / KI_MAKEOK4（メーカーＯＰＴ管理原価４） / SU_MAKOYO4（メーカーＯＰＴ予定原価４） ほか110項目,未確認（通常帳票ではなく調査・アーカイブ用途の可能性）,既存履歴/アーカイブとして最優先で仕様確認,既存保存データ候補（正式値としての利用可否は未確認）,現行テーブルから移送・保存される可能性（移送条件・頻度は未確認）,抹消済/保存用への移送条件、現行からの物理削除有無を確認,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,既存アーカイブの再利用可否を先に評価。不足時のみ補完Historyを作成,原則直接公開しない。監査・調査用ビューまたは履歴補完元として利用,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,AI21担当＋インフラ担当＋セキグチさん,AI21/インフラへ移送条件・保持期間を確認。Hueで現行表との件数/PK差分、重複、抹消/売上/仕入日を確認
TBBA095G,抹消済受注下取ＤＢ,新車系の既存抹消済/保存用データ（抹消済受注下取ＤＢ）,新車工程の抹消・保存・アーカイブ,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / KB_MITRCHUB（未登録車付番済区分） / NO_SATEISYO（査定書ＮＯ） / DD_SATEI（査定日） / NO_SYARYOU（車両ＮＯ） / KI_SITADKAK（下取価格） / KB_SITASYHI（下取消費税区分） ほか12項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / KB_SINCYU（新中区分） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_SITARENB（下取連番） / DD_URIAGE（売上日）,CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / NO_SYARYOU（車両ＮＯ） / NO_SYADAIBA（車台番号）,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_KYUSATEI（旧査定ＮＯ）,NO_SATEISYO（査定書ＮＯ） / DD_SATEI（査定日） / KI_SITADKAK（下取価格） / KB_ZANSEKSA（残債先区分） / MJ_ZANSEKSA（残債先名） / KI_AZRECYYO（預りリサイクル預託金） / KI_SIYZJDHI（使用済自動車引取依頼金額） / NO_KYUSATEI（旧査定ＮＯ） / DD_URIAGE（売上日）,未確認（通常帳票ではなく調査・アーカイブ用途の可能性）,既存履歴/アーカイブとして最優先で仕様確認,既存保存データ候補（正式値としての利用可否は未確認）,現行テーブルから移送・保存される可能性（移送条件・頻度は未確認）,抹消済/保存用への移送条件、現行からの物理削除有無を確認,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,既存アーカイブの再利用可否を先に評価。不足時のみ補完Historyを作成,原則直接公開しない。監査・調査用ビューまたは履歴補完元として利用,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,AI21担当＋インフラ担当＋セキグチさん,AI21/インフラへ移送条件・保持期間を確認。Hueで現行表との件数/PK差分、重複、抹消/売上/仕入日を確認
TBBA099G,抹消済登録DB,新車系の既存抹消済/保存用データ（抹消済登録DB）,新車工程の抹消・保存・アーカイブ,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_SYARYOU（車両ＮＯ） / DD_TOROYOTE（登録予定日） / SU_TOROKAI（登録回数） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / MJ_NOGYOTAI（登録ＮＯ業態） / NO_NOSEIRI（登録ＮＯ整理番号） / KB_JCJDSOTO（受注時自動車税相当額区分） / KI_JCNAJDST（受注時名変自動車税相当額） / KB_JCJBSOTO（受注時自賠責相当額区分） ほか27項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / KB_SYOHIN（商品区分） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_SYARYOU（車両ＮＯ） / KB_1JI2JI（一次二次区分） / DD_URIAGE（売上日）,NO_SYARYOU（車両ＮＯ） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / NO_NOSEIRI（登録ＮＯ整理番号）,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,MJ_TOROMAF（登録前売上ＦＬＧ） / DD_URIAGE（売上日）,未確認（通常帳票ではなく調査・アーカイブ用途の可能性）,既存履歴/アーカイブとして最優先で仕様確認,既存保存データ候補（正式値としての利用可否は未確認）,現行テーブルから移送・保存される可能性（移送条件・頻度は未確認）,抹消済/保存用への移送条件、現行からの物理削除有無を確認,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,既存アーカイブの再利用可否を先に評価。不足時のみ補完Historyを作成,原則直接公開しない。監査・調査用ビューまたは履歴補完元として利用,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,AI21担当＋インフラ担当＋セキグチさん,AI21/インフラへ移送条件・保持期間を確認。Hueで現行表との件数/PK差分、重複、抹消/売上/仕入日を確認
TBBA105G,抹消済新車車両情報DB,新車系の既存抹消済/保存用データ（抹消済新車車両情報DB）,新車工程の抹消・保存・アーカイブ,主要関連カラム: NO_FRAME（フレームＮＯ） / DD_SIIRE（仕入日） / MJ_ZAIKOSAK（在庫先） / MJ_SYASEKYH（車両代請求販売店） / CD_ZAIKBSDR（在庫場所ディーラーコード） / MJ_ZAIKOBAS（在庫場所） / MJ_ZENZAKBS（前月末在庫場所） / KB_FRAME（フレーム区分） / NO_KRFRAM（仮フレームＮＯ） / NO_SYADAIBA（車台番号） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） ほか24項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / MJ_SIMUKSAK（仕向先） / NO_ORDER（オーダーＮＯ） / MJ_KATAHIMA（型式ハイフン前） / NO_FRAME（フレームＮＯ） / DD_SIIRE（仕入日）,NO_FRAME（フレームＮＯ） / NO_KRFRAM（仮フレームＮＯ） / NO_SYADAIBA（車台番号）,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_CANCEL（キャンセル注文ＮＯ） / NO_CANCEEDA（キャンセル注文ＮＯ枝番）,DD_MODURIAG（戻し売上日） / DD_URITORIK（売上取消日） / DD_URIAGE（売上日）,未確認（通常帳票ではなく調査・アーカイブ用途の可能性）,既存履歴/アーカイブとして最優先で仕様確認,既存保存データ候補（正式値としての利用可否は未確認）,現行テーブルから移送・保存される可能性（移送条件・頻度は未確認）,抹消済/保存用への移送条件、現行からの物理削除有無を確認,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,既存アーカイブの再利用可否を先に評価。不足時のみ補完Historyを作成,原則直接公開しない。監査・調査用ビューまたは履歴補完元として利用,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,AI21担当＋インフラ担当＋セキグチさん,AI21/インフラへ移送条件・保持期間を確認。Hueで現行表との件数/PK差分、重複、抹消/売上/仕入日を確認
TBBA108G,保存用新車受注基本情報ＤＢ,新車系の既存抹消済/保存用データ（保存用新車受注基本情報ＤＢ）,新車工程の抹消・保存・アーカイブ,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / SU_JUCHUDAI（受注台数） / NO_SYADAIBA（車台番号） / KB_TOROKU（登録区分） / KB_JCSINPO（受注進捗区分） / KB_TOROKKAH（登録可否区分） / MJ_NOSYBAS（納車場所） / MJ_SYATEIRA（車両手配依頼） / DD_SYRYTHIR（車両手配依頼日） / MJ_CYMONM1（注文メモ１） / MJ_CYMONM2（注文メモ２） ほか56項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / DD_URIAGE（売上日）,NO_SYADAIBA（車台番号） / NO_FRAME（フレームＮＯ）,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_KYTYUMON（旧注文ＮＯ） / NO_KYTYMOED（旧注文ＮＯ枝番） / NO_SINTYMON（新注文ＮＯ） / NO_SINTYMED（新注文ＮＯ枝番） / NO_SKYCYMON（送信旧注文ＮＯ） / NO_SKYCYMED（送信旧注文ＮＯ枝番）,DD_URITRKKJ（売上取消計上日） / DD_MODURIKJ（戻し売上計上日） / DD_URIAGEKJ（売上計上日） / DD_URITORIK（売上取消日） / DD_MODURIAG（戻し売上日） / DD_URIAGE（売上日）,未確認（通常帳票ではなく調査・アーカイブ用途の可能性）,既存履歴/アーカイブとして最優先で仕様確認,既存保存データ候補（正式値としての利用可否は未確認）,現行テーブルから移送・保存される可能性（移送条件・頻度は未確認）,抹消済/保存用への移送条件、現行からの物理削除有無を確認,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,既存アーカイブの再利用可否を先に評価。不足時のみ補完Historyを作成,原則直接公開しない。監査・調査用ビューまたは履歴補完元として利用,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,AI21担当＋インフラ担当＋セキグチさん,AI21/インフラへ移送条件・保持期間を確認。Hueで現行表との件数/PK差分、重複、抹消/売上/仕入日を確認
TBBA117G,保存用受注下取ＤＢ,新車系の既存抹消済/保存用データ（保存用受注下取ＤＢ）,新車工程の抹消・保存・アーカイブ,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / KB_MITRCHUB（未登録車付番済区分） / NO_SATEISYO（査定書ＮＯ） / DD_SATEI（査定日） / NO_SYARYOU（車両ＮＯ） / KI_SITADKAK（下取価格） / KB_SITASYHI（下取消費税区分） ほか12項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / KB_SINCYU（新中区分） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_SITARENB（下取連番） / DD_URIAGE（売上日）,CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / NO_SYARYOU（車両ＮＯ） / NO_SYADAIBA（車台番号）,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_KYUSATEI（旧査定ＮＯ）,NO_SATEISYO（査定書ＮＯ） / DD_SATEI（査定日） / KI_SITADKAK（下取価格） / KB_ZANSEKSA（残債先区分） / MJ_ZANSEKSA（残債先名） / KI_AZRECYYO（預りリサイクル預託金） / KI_SIYZJDHI（使用済自動車引取依頼金額） / NO_KYUSATEI（旧査定ＮＯ） / DD_URIAGE（売上日）,未確認（通常帳票ではなく調査・アーカイブ用途の可能性）,既存履歴/アーカイブとして最優先で仕様確認,既存保存データ候補（正式値としての利用可否は未確認）,現行テーブルから移送・保存される可能性（移送条件・頻度は未確認）,抹消済/保存用への移送条件、現行からの物理削除有無を確認,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,既存アーカイブの再利用可否を先に評価。不足時のみ補完Historyを作成,原則直接公開しない。監査・調査用ビューまたは履歴補完元として利用,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,AI21担当＋インフラ担当＋セキグチさん,AI21/インフラへ移送条件・保持期間を確認。Hueで現行表との件数/PK差分、重複、抹消/売上/仕入日を確認
TBBA130G,保存用新車受注顧客情報ＤＢ,新車系の既存抹消済/保存用データ（保存用新車受注顧客情報ＤＢ）,新車工程の抹消・保存・アーカイブ,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / MJ_TYUEMAIL（注文印刷用Ｅメールアドレス） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ） / DD_URIAGE（売上日） / DT_MASSYO（抹消日時）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / KB_KOKYAKU（顧客区分） / DD_URIAGE（売上日）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,DD_URIAGE（売上日）,未確認（通常帳票ではなく調査・アーカイブ用途の可能性）,既存履歴/アーカイブとして最優先で仕様確認,既存保存データ候補（正式値としての利用可否は未確認）,現行テーブルから移送・保存される可能性（移送条件・頻度は未確認）,抹消済/保存用への移送条件、現行からの物理削除有無を確認,現行側の訂正後に保存用へ何が残るかを確認,未確認（テーブル定義書の保持期間欄は未記入）,既存アーカイブの再利用可否を先に評価。不足時のみ補完Historyを作成,原則直接公開しない。監査・調査用ビューまたは履歴補完元として利用,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,AI21担当＋インフラ担当＋セキグチさん,AI21/インフラへ移送条件・保持期間を確認。Hueで現行表との件数/PK差分、重複、抹消/売上/仕入日を確認
TBBC040G,抹消済中古車受注基本情報ＤＢ,U-Car系の既存抹消済/保存用データ（抹消済中古車受注基本情報ＤＢ）,U-Car工程の抹消・保存・アーカイブ,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_SYARYOU（車両ＮＯ） / CD_JYTYUTEN（受注店舗コード） / KB_URIAGE（売上区分） / KB_TOROKU（登録区分） / MJ_TORORIKU（登録陸支） / MJ_NOSYBAS（納車場所） / MJ_CYMONM1（注文メモ１） / MJ_CYMONM2（注文メモ２） / DD_PALTYMSK（ＰＡＬ注文書作成日） / DD_JUCYUHAS（受注発生日） ほか31項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / DD_URIAGE（売上日）,NO_SYARYOU（車両ＮＯ）,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_ECCYUM（ＥＣ注文ＮＯ）,KB_URIAGE（売上区分） / DD_URITRKKJ（売上取消計上日） / DD_URIAGEKJ（売上計上日） / DD_URITORIK（売上取消日） / DD_MODURIAG（戻し売上日） / DD_URIAGYOT（売上予定日） / DD_URIAGE（売上日）,未確認（通常帳票ではなく調査・アーカイブ用途の可能性）,既存履歴/アーカイブとして最優先で仕様確認,既存保存データ候補（正式値としての利用可否は未確認）,現行テーブルから移送・保存される可能性（移送条件・頻度は未確認）,抹消済/保存用への移送条件、現行からの物理削除有無を確認,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,既存アーカイブの再利用可否を先に評価。不足時のみ補完Historyを作成,原則直接公開しない。監査・調査用ビューまたは履歴補完元として利用,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,U-Car担当＋AI21担当＋インフラ担当,AI21/インフラへ移送条件・保持期間を確認。Hueで現行表との件数/PK差分、重複、抹消/売上/仕入日を確認
